journalPath,locale,versionIdentifier,version,articlePrefix,articleTitle,articleSubtitle,articleAbstract,authors,keywords,subjects,coverage,categories,doi,coverImageFilename,coverImageAltText,galleyFilenames,galleyLabels,suppFilenames,suppLabels,sectionTitle,sectionAbbrev,issueTitle,issueVolume,issueNumber,issueYear,issueDescription,datePublished,startPage,endPage,copyrightYear,copyrightHolder,licenseUrl,references
liv,en_US,,,,Simple Single-Locale Article,No Versions or Locales,This is a basic article with only one locale (English) and no versioning. It demonstrates the simplest case of article import.,"John,Doe,john.doe@example.com,University of Examples",single locale;no versioning;basic import,simple case;baseline,global,Basic Articles,10.1234/simple001,,,article-simple.pdf,PDF,,,Articles,ART,Basic Import Examples,1,1,2024,Demonstration of basic import features,2024-01-15,1,10,2024,Public Knowledge Project,https://creativecommons.org/licenses/by/4.0,
liv,en_US,multi-locale-001,1,,Multi-Locale Article (English Version),Demonstrating Multiple Languages,This article demonstrates multi-locale support. The same article is available in English and Brazilian Portuguese. This is the English version.,"Jane,Smith,jane.smith@multilang.edu,Department of Linguistics;Carlos,Garcia,carlos.garcia@multilang.edu,Department of Linguistics",multilingual;localization;internationalization,linguistics;translation studies,global,Research Articles;Linguistics,10.1234/multiloc001,cover-multiloc.png,Multilingual Communication Diagram,article-multiloc-en.pdf,PDF,supplement-multiloc.pdf,Supplement,Articles,ART,Multilingual Research,1,2,2024,Special issue on multilingual content,2024-02-01,11,25,2024,Public Knowledge Project,https://creativecommons.org/licenses/by/4.0,refs-multiloc.txt
liv,pt_BR,multi-locale-001,1,,Artigo Multilíngue (Versão em Português),Demonstrando Múltiplos Idiomas,Este artigo demonstra o suporte multilíngue. O mesmo artigo está disponível em inglês e português brasileiro. Esta é a versão em português.,"Jane,Smith,jane.smith@multilang.edu,Departamento de Linguística;Carlos,Garcia,carlos.garcia@multilang.edu,Departamento de Linguística",multilíngue;localização;internacionalização,linguística;estudos de tradução,global,,,,,,,,,,,Multilingual Research,1,2,2024,,2024-02-01,,,,,,
liv,en_US,multi-version-001,1,,Machine Learning Fundamentals,Introduction to Neural Networks,This is the first version of an article about machine learning. It covers basic concepts and introduces neural networks.,"Alice,Johnson,alice.johnson@ai.edu,AI Research Institute;Bob,Williams,bob.williams@ai.edu,AI Research Institute",machine learning;neural networks;artificial intelligence,computer science;AI,global,Research Articles;Computer Science,10.1234/mlv001-v1,cover-ml-v1.png,Neural Network Diagram v1,article-ml-v1.pdf,PDF,data-ml-v1.json,Dataset,Research,RES,AI Research Advances,2,1,2024,Cutting-edge AI research,2024-03-01,26,40,2024,Public Knowledge Project,https://creativecommons.org/licenses/by/4.0,refs-ml-v1.txt
liv,en_US,multi-version-001,2,,Machine Learning Fundamentals: Revised Edition,Introduction to Neural Networks and Deep Learning,This is the second version of the machine learning article. It includes updated information about deep learning and adds new case studies. Some fields are inherited from version 1.,"Alice,Johnson,alice.johnson@ai.edu,AI Research Institute;Bob,Williams,bob.williams@ai.edu,AI Research Institute;Carol,Zhang,carol.zhang@ai.edu,AI Research Institute",machine learning;neural networks;artificial intelligence;deep learning;case studies,computer science;AI;deep learning,global,Research Articles;Computer Science;Deep Learning,10.1234/mlv001-v2,,,article-ml-v2.pdf,PDF,,,Research,RES,,,,,,2024-05-15,26,48,2024,Public Knowledge Project,https://creativecommons.org/licenses/by/4.0,refs-ml-v2.txt
liv,en_US,multi-version-001,3,ML,Machine Learning Fundamentals: Complete Edition,Comprehensive Guide to Neural Networks and Deep Learning,This is the third and most comprehensive version. It includes all previous content plus new chapters on transformers and large language models.,"Alice,Johnson,alice.johnson@ai.edu,AI Research Institute;Bob,Williams,bob.williams@ai.edu,AI Research Institute;Carol,Zhang,carol.zhang@ai.edu,AI Research Institute;David,Kumar,david.kumar@ai.edu,AI Research Institute",machine learning;neural networks;artificial intelligence;deep learning;transformers;large language models,computer science;AI;deep learning;NLP,global,Research Articles;Computer Science;Deep Learning;NLP,10.1234/mlv001-v3,cover-ml-v3.png,Complete ML Diagram,article-ml-v3.pdf,PDF,data-ml-v3.json;code-ml-v3.zip,Dataset;Code,Research,RES,,,,,,2024-08-01,26,65,2024,Public Knowledge Project,https://creativecommons.org/licenses/by/4.0,refs-ml-v3.txt
liv,en_US,complex-001,1,,Complex Multi-Version Multi-Locale Article (EN),Version 1 - English,"This demonstrates the most complex scenario: an article with multiple versions, where each version has multiple locales. This is Version 1 in English.","Michael,Brown,michael.brown@complex.edu,Department of Complex Studies;Emma,Davis,emma.davis@complex.edu,Department of Complex Studies",complexity;versioning;localization;internationalization,software engineering;research methodology,global,Research Articles,10.1234/complex001-v1,cover-complex-v1.png,Complex System Diagram v1,article-complex-v1-en.pdf,PDF,supp-complex-v1.pdf,Supplement,Research,RES,Complex Systems Research,2,2,2024,Advanced research methodologies,2024-04-01,49,65,2024,Public Knowledge Project,https://creativecommons.org/licenses/by-nc/4.0,refs-complex-v1.txt
liv,pt_BR,complex-001,1,,Artigo Complexo Multi-Versão Multi-Idioma (PT),Versão 1 - Português,"Este demonstra o cenário mais complexo: um artigo com múltiplas versões, onde cada versão tem múltiplos idiomas. Esta é a Versão 1 em português.","Michael,Brown,michael.brown@complex.edu,Departamento de Estudos Complexos;Emma,Davis,emma.davis@complex.edu,Departamento de Estudos Complexos",complexidade;versionamento;localização;internacionalização,engenharia de software;metodologia de pesquisa,global,,,,,,,,,,,Complex Systems Research,2,2,2024,,2024-04-01,,,,,,
liv,en_US,complex-001,2,CX,Complex Multi-Version Multi-Locale Article (EN),Version 2 - English - Updated,This is Version 2 of the complex article in English. It includes significant updates and new research findings. Notice how Version 2 also supports multiple locales.,"Michael,Brown,michael.brown@complex.edu,Department of Complex Studies;Emma,Davis,emma.davis@complex.edu,Department of Complex Studies;Frank,Wilson,frank.wilson@complex.edu,Department of Complex Studies",complexity;versioning;localization;internationalization;updates;research findings,software engineering;research methodology;advanced studies,global,Research Articles;Advanced Studies,10.1234/complex001-v2,cover-complex-v2.png,Complex System Diagram v2,article-complex-v2-en.pdf,PDF,supp-complex-v2.pdf;data-complex-v2.xlsx,Supplement;Dataset,Research,RES,,,,,,2024-07-01,49,78,2024,Public Knowledge Project,https://creativecommons.org/licenses/by-nc/4.0,refs-complex-v2.txt
liv,pt_BR,complex-001,2,CX,Artigo Complexo Multi-Versão Multi-Idioma (PT),Versão 2 - Português - Atualizado,Esta é a Versão 2 do artigo complexo em português. Inclui atualizações significativas e novos resultados de pesquisa. Note como a Versão 2 também suporta múltiplos idiomas.,"Michael,Brown,michael.brown@complex.edu,Departamento de Estudos Complexos;Emma,Davis,emma.davis@complex.edu,Departamento de Estudos Complexos;Frank,Wilson,frank.wilson@complex.edu,Departamento de Estudos Complexos",complexidade;versionamento;localização;internacionalização;atualizações;resultados de pesquisa,engenharia de software;metodologia de pesquisa;estudos avançados,global,,,,,,,,,,,,,,,,2024-07-01,,,,,,
